"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"V31"	"V32"	"V33"	"V34"	"V35"	"V36"	"V37"	"V38"	"V39"	"V40"	"V41"	"V42"	"V43"	"V44"	"V45"	"V46"	"V47"	"V48"	"V49"	"V50"	"V51"	"V52"	"V53"	"V54"	"V55"	"V56"	"V57"	"V58"	"V59"	"V60"	"V61"	"V62"	"V63"	"V64"	"V65"	"V66"	"V67"	"V68"	"V69"	"V70"	"V71"	"V72"	"V73"	"V74"	"V75"	"V76"	"V77"	"V78"	"V79"	"V80"	"V81"	"V82"	"V83"	"V84"	"V85"	"V86"	"V87"	"V88"	"V89"	"V90"	"V91"	"V92"	"V93"	"V94"	"V95"	"V96"	"V97"	"V98"	"V99"	"V100"
"315"	9	26	8	9	8	17	7	8	0	2	15	0	343	5	3	6	5	2	7	12	4	9	7	1	0	2	0	5	2	76	9	2	7	6	0	28	2	42	9	196	1	10	10	11	6	13	7	0	1	2	0	7	0	9	0	4	3	1	1	1	6	3	1	1	11	5	0	23	7	4	59	45	3	3	25	7	0	2	8	36	7	0	65	5	8	1	9	0	2	9	14	3	5	5	4	14	0	6	5	4
"330"	9	33	6	7	7	17	5	3	0	2	13	3	358	4	6	9	5	3	4	8	2	3	12	3	0	1	0	2	4	55	13	4	3	11	2	31	5	49	15	185	1	5	15	20	6	13	5	2	0	6	3	2	1	11	3	7	2	1	6	5	16	2	2	4	17	4	0	21	10	1	55	39	3	7	19	5	1	1	13	33	2	1	69	5	10	0	9	0	2	7	13	3	11	3	12	13	0	9	5	2
"332"	4	27	9	6	8	17	3	8	0	1	17	2	354	4	2	10	3	1	7	11	5	5	9	2	0	3	0	4	6	55	10	4	3	9	6	26	1	46	10	181	3	5	14	19	9	19	4	2	0	3	4	3	1	7	3	6	2	1	5	9	4	0	2	3	13	3	6	24	8	0	50	40	6	7	22	7	1	1	9	35	6	3	60	5	7	1	8	0	1	5	14	2	15	3	3	13	1	9	3	2
"338"	1	21	6	6	1	18	7	4	0	2	15	4	342	0	4	5	5	1	8	8	5	6	17	2	1	0	0	6	6	50	13	4	6	7	7	23	4	48	9	186	3	11	22	19	7	15	11	0	0	5	1	7	0	7	2	3	2	4	2	4	13	2	0	4	5	5	1	31	6	1	59	42	4	9	20	9	0	3	14	28	5	1	59	6	5	0	5	0	6	3	10	5	12	7	5	13	0	6	5	3
"343"	13	23	3	15	8	21	7	7	0	3	12	1	325	5	2	12	2	1	4	9	3	3	7	4	1	5	0	2	6	47	14	5	2	10	1	31	2	45	9	204	1	5	16	12	7	9	5	0	0	4	3	2	0	6	0	2	2	2	4	6	7	1	0	9	12	3	2	28	16	2	62	44	3	4	25	10	0	1	16	38	7	0	74	4	10	0	9	3	3	3	12	5	9	7	4	18	0	11	3	5
"355"	10	26	9	10	7	26	1	8	0	4	10	2	355	7	4	10	7	2	4	9	3	5	13	2	0	3	0	2	4	57	10	5	4	12	2	30	1	50	5	207	1	10	17	12	4	9	2	0	0	3	3	6	1	8	3	2	2	0	8	8	8	1	0	4	10	3	1	26	4	1	64	37	4	12	19	5	0	3	10	47	7	1	58	3	10	1	11	0	2	4	12	6	14	6	5	16	0	10	6	0
"357"	6	26	6	6	7	25	0	2	0	0	13	2	367	3	7	6	5	3	5	9	3	9	13	4	0	3	0	4	5	59	11	4	3	9	2	33	2	49	9	197	1	4	21	22	4	13	5	1	1	2	2	7	0	12	3	6	0	0	3	10	7	3	1	3	7	5	4	28	8	2	68	38	3	8	9	7	0	3	13	43	5	2	58	4	8	0	11	0	4	6	10	8	16	6	5	12	2	8	6	0
"378"	11	35	9	5	4	22	3	5	0	4	18	7	356	2	3	5	6	2	5	5	4	9	10	1	0	0	0	0	3	54	11	5	5	10	1	24	1	55	10	191	3	3	17	6	3	9	4	0	0	2	2	6	2	14	2	6	2	0	2	8	6	2	1	4	11	3	2	29	5	2	58	30	1	2	28	8	1	2	5	36	4	1	66	1	14	0	6	0	3	6	14	4	17	9	5	19	1	11	9	4
"385"	10	38	10	10	8	24	2	4	0	0	8	7	351	5	10	4	3	0	5	8	1	3	11	3	0	2	0	5	6	48	10	6	4	8	1	20	4	44	9	183	3	3	16	10	8	13	9	0	0	4	1	5	0	13	1	1	1	3	6	3	15	1	1	5	12	2	7	23	7	2	50	27	3	1	20	8	1	0	10	37	4	1	72	3	9	1	7	0	5	8	12	3	16	8	1	14	0	8	6	6
"389"	9	36	13	6	6	24	1	9	0	1	17	2	365	1	6	3	4	2	6	6	2	6	9	1	0	4	0	4	5	55	6	3	4	12	3	29	1	37	10	185	0	4	15	10	4	11	6	0	1	3	3	5	0	6	3	3	1	1	5	12	6	2	2	9	6	6	4	18	8	0	63	25	3	10	19	11	0	2	11	35	6	1	81	5	8	0	6	2	3	8	15	9	15	8	3	10	1	10	5	3
