"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"V31"	"V32"	"V33"	"V34"	"V35"	"V36"	"V37"	"V38"	"V39"	"V40"	"V41"	"V42"	"V43"	"V44"	"V45"	"V46"	"V47"	"V48"	"V49"	"V50"	"V51"	"V52"	"V53"	"V54"	"V55"	"V56"	"V57"	"V58"	"V59"	"V60"	"V61"	"V62"	"V63"	"V64"	"V65"	"V66"	"V67"	"V68"	"V69"	"V70"	"V71"	"V72"	"V73"	"V74"	"V75"	"V76"	"V77"	"V78"	"V79"	"V80"	"V81"	"V82"	"V83"	"V84"	"V85"	"V86"	"V87"	"V88"	"V89"	"V90"	"V91"	"V92"	"V93"	"V94"	"V95"	"V96"	"V97"	"V98"	"V99"	"V100"
"624"	10	30	8	11	3	14	2	4	0	3	16	2	359	0	9	4	4	1	8	8	4	5	18	3	0	2	0	5	9	52	12	4	5	14	8	24	2	37	8	162	2	7	21	20	5	19	8	0	0	4	1	5	0	7	1	6	1	3	4	6	9	1	1	6	9	3	4	25	7	1	66	30	1	1	25	12	0	1	6	19	5	0	75	6	10	2	3	2	3	5	9	4	7	6	11	12	1	8	7	2
"647"	3	31	5	6	7	23	2	2	0	1	10	6	328	4	6	8	4	3	5	11	4	3	13	4	1	1	0	5	11	43	9	6	2	11	5	28	3	42	11	173	3	5	23	16	14	19	9	0	1	1	4	9	1	8	1	7	0	0	4	13	11	5	2	0	8	3	4	29	8	2	61	39	0	5	32	12	0	4	12	27	6	0	57	4	6	0	7	1	0	9	8	2	8	5	5	16	3	7	7	4
"656"	9	24	13	7	7	22	0	5	0	4	11	1	378	0	1	11	6	3	3	4	4	7	11	3	2	1	0	5	9	50	13	3	2	5	11	23	2	40	12	181	2	5	17	12	6	17	8	0	1	5	2	6	2	13	0	5	3	0	3	9	11	3	2	2	10	1	4	25	10	0	58	44	4	4	19	14	0	4	14	32	1	1	52	3	10	1	8	2	1	12	11	3	8	4	6	5	0	12	4	2
"680"	10	34	7	13	2	31	0	8	0	4	14	2	388	1	5	9	5	1	8	7	2	9	7	3	0	3	0	5	7	49	11	5	5	5	4	33	1	48	5	178	1	8	9	11	2	16	5	1	0	1	5	3	1	9	2	7	0	1	7	7	11	2	1	5	17	3	2	36	10	1	50	30	4	4	14	6	2	1	5	24	2	1	67	3	8	0	12	1	2	4	14	3	11	4	4	5	0	7	5	4
"697"	13	26	8	6	5	18	8	8	0	1	21	3	362	2	2	8	4	5	8	11	2	4	15	3	0	0	0	4	4	61	11	5	5	9	0	28	2	38	8	168	2	4	22	16	6	15	5	0	1	4	1	5	2	11	2	5	2	3	2	6	14	0	0	4	12	3	2	27	8	4	52	40	5	7	24	14	0	2	14	23	7	3	72	1	4	2	5	1	1	9	7	8	12	2	6	12	1	9	8	2
"700"	5	32	12	8	2	20	6	7	0	2	20	2	361	3	1	8	2	1	5	9	3	3	7	1	0	0	0	3	8	68	13	3	3	16	6	32	2	41	8	168	2	6	16	18	6	8	6	0	0	6	1	6	3	10	2	7	2	1	5	7	18	1	0	4	6	4	3	31	5	0	50	33	4	2	23	8	0	0	12	23	5	1	73	3	13	2	4	0	2	6	17	6	17	7	11	18	3	3	5	3
"711"	8	33	8	8	4	21	2	7	0	4	12	3	356	3	4	7	7	1	5	13	2	3	13	1	0	3	0	3	5	65	10	6	5	8	7	20	2	46	8	183	2	6	14	15	6	10	11	1	1	6	3	5	1	9	0	3	1	5	4	7	9	2	2	2	9	5	6	40	13	0	43	41	4	3	25	7	1	2	8	25	6	2	68	5	12	1	3	1	2	7	12	1	16	9	11	15	1	4	4	5
"716"	7	35	8	10	4	16	5	8	0	3	8	1	353	1	4	7	4	2	6	11	0	6	9	2	0	1	0	3	6	64	10	4	3	11	6	27	3	45	8	183	3	4	18	17	5	12	7	0	0	2	4	4	3	2	2	5	1	3	4	4	8	1	0	9	11	3	3	33	6	3	41	41	2	4	20	8	0	2	7	25	5	0	80	2	4	0	5	1	4	4	17	2	20	11	6	17	0	5	3	1
"730"	12	21	10	6	4	32	4	6	0	3	18	2	349	2	3	10	5	2	5	15	4	5	7	2	1	1	0	3	7	49	12	6	4	12	5	27	0	38	5	185	3	7	21	13	8	21	5	0	0	3	4	9	1	7	3	2	0	3	4	7	10	1	0	4	10	1	1	34	5	1	39	42	3	9	17	14	0	2	13	22	5	1	65	3	9	1	9	2	2	7	11	4	18	14	5	16	1	4	4	7
"733"	9	24	7	8	10	31	4	6	0	6	19	4	352	4	5	7	4	4	7	7	1	2	12	1	1	5	0	2	6	48	11	6	2	7	2	27	1	41	8	180	4	6	22	13	8	21	3	0	0	2	3	6	4	11	4	2	3	2	4	2	15	3	0	2	5	3	1	32	9	2	45	41	4	7	29	13	0	3	12	21	4	3	58	3	7	0	9	1	1	10	9	4	16	5	5	14	2	10	8	4
"752"	12	28	8	15	8	22	3	4	0	0	10	2	349	1	7	5	5	2	4	3	6	5	7	4	0	3	0	5	6	53	7	4	5	5	8	18	4	39	9	196	1	2	21	11	9	18	4	0	1	3	3	8	0	8	3	4	2	1	3	6	9	1	0	8	8	7	5	27	7	2	60	32	2	5	19	6	0	2	23	22	8	2	74	1	11	1	6	1	5	6	15	2	11	10	2	13	0	7	5	2
"756"	4	26	7	9	7	22	0	5	0	0	19	4	353	5	2	6	3	2	11	5	0	5	9	5	2	2	0	2	4	56	12	2	3	9	1	20	1	39	15	204	3	1	22	14	8	12	5	0	0	5	4	7	0	9	2	4	2	0	3	8	12	1	3	6	9	4	3	30	12	1	62	31	2	7	18	9	0	4	13	23	4	1	76	4	11	1	8	0	3	6	14	3	10	12	6	13	0	8	4	4
"766"	13	32	7	11	5	19	1	5	0	2	15	2	336	4	5	9	6	3	7	3	2	12	5	3	4	2	0	0	3	55	13	5	7	15	6	19	3	37	6	219	0	7	23	26	10	19	4	0	0	5	2	5	1	5	1	4	4	0	6	7	5	2	1	4	13	6	0	27	10	1	65	30	2	8	23	11	0	3	7	23	5	2	54	3	7	0	11	0	4	6	10	1	8	6	4	12	1	11	6	3
"768"	9	35	5	11	6	23	1	4	0	1	13	2	360	2	7	3	2	6	4	7	3	7	4	2	1	1	0	4	8	44	22	5	2	7	4	19	1	37	8	211	1	1	29	15	12	18	9	1	1	4	3	6	2	4	3	2	2	0	6	6	11	1	1	1	11	4	4	28	9	1	55	37	2	6	23	8	1	1	7	24	4	1	63	5	6	0	9	1	4	8	17	3	9	7	6	11	4	13	5	6
"769"	7	30	4	10	5	22	2	7	0	2	11	0	350	4	3	10	3	7	6	10	0	5	7	2	1	2	0	5	4	48	16	7	1	6	3	22	3	38	9	211	0	2	29	14	8	17	8	3	1	4	4	3	4	8	0	3	0	0	2	6	9	1	1	3	11	6	3	28	10	2	54	37	4	4	19	9	1	3	7	25	9	0	59	4	10	0	8	1	4	8	15	1	8	5	7	8	1	14	9	9
"778"	10	32	6	8	4	18	2	4	0	2	12	2	339	1	9	11	4	2	6	8	1	3	10	1	0	2	1	2	9	50	12	3	5	6	4	27	2	43	11	198	2	3	26	15	6	16	3	0	0	3	4	3	0	5	0	7	1	2	4	3	9	1	1	4	13	2	4	29	6	5	51	47	2	11	27	9	0	0	10	25	4	3	50	1	6	0	4	0	2	8	10	9	14	7	3	12	1	6	10	4
"785"	3	43	7	10	3	18	1	6	0	0	15	3	344	0	9	7	6	3	2	9	4	4	12	4	1	1	0	4	6	60	12	3	4	8	4	21	2	36	10	201	2	5	13	13	11	12	9	0	0	5	3	1	1	6	4	4	3	1	2	6	9	1	3	4	6	4	1	39	5	0	61	41	1	7	20	10	0	1	12	12	5	1	69	6	14	0	6	0	0	11	14	1	10	6	4	22	1	11	6	2
"787"	9	37	8	7	2	12	2	8	0	1	17	2	343	0	2	7	10	3	5	11	5	4	11	4	1	2	0	3	5	57	15	6	1	7	4	20	6	39	7	193	1	4	11	13	11	15	10	1	0	2	1	3	2	8	5	2	3	1	4	4	6	1	1	7	9	7	6	39	5	0	70	42	6	8	21	9	0	1	2	13	4	1	69	4	15	1	8	1	4	15	14	5	10	5	8	18	1	5	7	2
"791"	4	37	9	12	12	22	1	2	0	0	18	1	338	4	5	6	3	0	7	6	4	5	14	2	0	2	0	3	5	54	10	5	4	16	6	19	4	42	12	186	4	3	15	17	6	16	3	0	1	2	1	10	1	11	3	0	2	1	3	3	11	1	4	4	9	4	2	44	7	1	69	42	6	5	25	7	0	1	7	12	7	2	64	8	13	2	8	0	3	16	11	3	10	4	4	11	0	5	8	3
"799"	8	33	12	8	8	24	2	8	0	3	10	4	327	1	3	5	4	0	6	11	6	4	10	3	0	2	0	4	7	60	10	4	3	21	6	23	2	50	9	187	3	6	17	9	6	14	6	0	0	2	1	5	1	4	2	2	3	4	2	10	11	5	1	4	9	7	5	31	7	0	59	35	1	6	24	6	0	0	8	21	7	0	79	1	7	0	9	1	3	3	14	4	13	5	8	16	1	9	7	3
"804"	4	31	5	8	9	19	3	5	0	1	18	4	354	6	2	6	6	2	6	15	1	10	11	3	0	2	0	2	5	64	6	3	2	7	2	19	1	59	13	198	3	3	13	7	4	15	3	0	1	4	2	3	0	15	5	5	2	2	4	5	14	3	0	6	12	5	3	33	8	3	56	32	8	9	23	8	0	2	4	24	8	0	80	2	11	0	3	2	3	9	7	4	11	7	5	11	0	5	2	3
"823"	7	33	6	6	10	23	5	7	0	1	13	4	344	3	8	9	5	4	5	11	2	1	13	3	0	3	0	3	6	65	11	3	8	8	1	29	1	46	10	170	2	9	12	20	6	24	5	1	0	1	1	5	1	6	0	2	4	1	2	6	10	2	0	5	8	3	1	35	11	1	52	35	4	7	31	15	0	2	7	25	5	3	58	5	9	0	2	0	1	6	8	6	14	10	8	16	1	8	6	2
"828"	8	34	13	10	7	18	5	4	0	3	12	3	348	3	4	9	8	4	6	8	2	4	11	3	1	5	0	4	10	64	8	3	5	11	4	20	1	37	9	172	4	3	13	13	6	19	4	1	0	2	1	6	1	5	1	4	2	0	6	4	10	0	2	5	4	2	8	32	9	0	47	38	4	6	18	6	0	1	7	25	7	2	56	8	8	0	5	1	5	5	15	4	19	7	7	16	0	13	6	5
"835"	11	38	6	10	9	13	4	9	0	2	19	1	356	5	6	7	2	2	6	16	1	5	10	0	0	2	0	3	7	58	4	8	5	9	4	26	3	46	13	169	5	1	14	15	5	19	7	0	3	2	2	2	3	3	1	7	0	1	5	10	7	5	0	4	5	2	3	32	3	0	45	42	3	6	19	11	0	3	10	23	5	1	70	6	5	0	5	1	0	11	12	9	16	11	6	18	1	8	8	3
"839"	5	41	8	9	5	15	4	5	0	5	15	1	353	10	5	10	4	0	4	12	2	4	12	3	0	1	0	3	5	61	15	9	2	13	4	32	6	46	6	171	1	5	28	19	3	12	8	1	1	4	1	2	2	6	1	4	2	5	5	10	8	3	0	3	7	2	7	22	16	1	58	31	2	3	19	2	1	4	10	23	2	3	58	0	7	1	9	0	1	11	16	2	11	7	2	16	0	8	6	3
"845"	8	36	6	8	7	10	5	7	0	2	21	4	372	2	0	6	4	2	12	7	5	9	7	0	0	2	1	1	6	64	14	3	3	6	9	29	2	41	11	156	0	4	19	25	16	14	2	0	0	3	1	8	1	7	1	3	1	4	6	5	6	0	1	4	15	5	0	26	8	2	60	25	5	7	21	7	0	0	10	24	5	2	68	3	5	1	9	0	8	9	9	5	11	6	2	16	0	6	3	0
"856"	2	41	8	5	10	12	5	6	0	3	23	7	327	5	7	3	4	2	9	16	1	4	7	3	0	4	0	4	6	60	11	2	3	11	4	24	0	48	11	173	1	9	17	17	6	18	4	1	0	3	4	6	1	7	4	2	0	2	7	4	9	3	2	4	13	3	1	25	4	1	65	35	3	10	23	12	1	3	8	24	1	1	73	5	11	2	7	1	0	10	9	5	11	2	6	10	0	13	3	1
"865"	7	29	6	8	5	23	1	7	0	1	16	4	349	2	2	4	2	2	6	8	1	5	7	3	0	1	0	5	7	52	14	8	4	6	8	19	3	46	6	175	0	2	17	17	6	12	8	2	0	4	4	3	1	3	1	3	1	1	5	5	5	2	0	6	8	3	3	33	6	2	60	40	4	3	25	9	0	4	6	33	2	2	74	2	7	1	5	1	2	4	7	5	15	8	6	11	0	9	10	1
"875"	6	30	7	10	7	24	5	4	0	2	14	6	325	2	6	8	7	1	10	7	4	12	12	2	1	1	0	4	7	56	19	2	6	11	2	22	3	39	11	174	1	4	15	15	5	19	5	0	0	2	3	3	1	6	3	7	0	2	5	4	14	2	0	1	10	5	1	42	11	0	55	39	0	4	21	16	0	4	8	18	3	1	68	4	7	1	6	2	4	6	13	6	16	5	1	14	0	10	4	1
"885"	7	33	15	5	6	24	3	10	0	2	12	3	329	1	4	4	3	2	4	15	0	7	14	3	0	4	0	2	4	67	12	1	8	7	1	26	2	36	14	169	1	4	14	12	3	12	8	0	0	5	1	1	0	6	2	2	0	0	4	10	10	0	0	5	10	7	4	36	3	1	59	36	0	7	23	7	1	0	8	17	8	1	72	4	9	1	7	0	3	3	15	6	17	5	6	12	1	9	8	4
"890"	8	28	23	6	6	24	2	6	0	2	17	4	345	2	3	2	6	5	9	8	2	6	10	1	0	5	0	7	5	64	11	4	3	13	5	28	1	41	5	165	3	4	18	13	5	16	3	1	0	4	3	7	0	8	1	4	0	1	7	2	7	0	0	5	9	3	1	28	3	0	76	35	5	2	29	12	0	1	9	18	5	1	85	5	9	2	5	3	4	8	11	3	15	5	8	12	0	5	4	3
"891"	12	28	16	5	8	23	2	4	0	0	15	2	335	3	3	3	9	2	2	6	1	2	11	3	0	2	0	7	4	67	13	4	7	11	6	30	1	45	5	167	1	3	25	13	4	17	5	0	0	3	4	9	0	9	0	3	2	3	4	12	10	1	0	6	8	3	1	28	7	2	72	34	2	4	24	12	2	2	8	21	7	1	86	4	11	0	2	2	4	3	9	4	15	3	7	10	0	5	5	2
"897"	10	26	8	8	2	20	1	2	0	1	15	2	363	3	2	5	6	2	7	9	6	3	10	3	1	6	0	5	4	58	10	3	4	10	2	33	3	32	14	176	1	7	22	17	11	11	7	0	2	4	3	7	0	5	1	7	1	3	4	1	9	1	0	2	8	5	3	27	3	0	75	31	0	3	15	2	0	1	10	20	3	1	95	1	8	1	8	0	4	2	8	7	16	4	4	14	1	4	7	3
"904"	5	31	5	10	7	25	1	5	0	1	12	4	330	2	6	6	7	1	3	4	5	7	6	1	1	1	0	4	5	61	7	7	1	6	1	26	4	28	11	173	3	7	17	20	8	14	10	0	2	2	0	5	4	15	3	8	2	4	5	4	3	3	1	5	8	4	0	32	4	2	64	30	1	5	17	11	0	2	10	29	7	0	93	6	8	1	6	1	1	5	7	1	14	5	12	13	0	12	5	3
"951"	11	27	10	8	7	24	3	8	0	2	13	3	332	0	5	6	3	2	4	11	2	0	10	5	0	2	0	4	6	55	11	4	5	12	4	21	1	61	12	208	3	6	23	18	7	9	6	0	0	3	3	4	0	9	0	11	1	0	2	9	6	4	2	6	17	3	2	31	9	2	57	26	1	7	22	11	0	3	5	16	5	2	58	6	9	1	10	1	6	10	13	6	10	7	2	10	0	5	8	5
"962"	3	41	13	6	9	22	4	6	0	0	11	2	353	2	4	5	5	1	5	6	1	9	10	5	0	2	2	7	9	53	9	5	5	10	7	20	2	57	14	194	2	5	15	9	5	11	4	0	0	4	4	8	1	7	3	4	2	2	4	4	15	4	0	6	9	7	2	32	5	2	60	26	4	5	24	7	0	2	14	19	1	0	51	6	14	0	10	0	2	4	13	1	13	3	7	19	0	5	7	2
"969"	6	32	8	10	8	25	5	5	0	1	16	2	355	3	2	8	2	3	2	9	0	4	12	1	0	0	2	6	7	45	15	11	4	10	3	26	2	47	11	198	2	8	23	15	10	8	6	0	0	3	4	5	1	6	0	4	1	1	3	6	9	3	4	3	11	4	2	39	13	3	56	27	4	10	22	6	0	0	11	19	9	2	62	4	11	0	7	1	3	9	12	5	7	5	3	15	0	7	6	3
"977"	8	26	6	10	9	24	3	7	0	1	9	0	370	0	6	4	5	1	8	15	3	6	18	0	0	2	0	4	8	50	13	5	7	9	3	36	4	38	8	198	1	3	19	12	6	17	4	0	1	5	4	8	2	7	3	5	1	1	4	8	6	1	3	3	10	5	3	37	5	1	57	33	3	3	14	5	2	0	12	20	7	2	70	7	6	1	8	1	2	6	5	2	7	7	4	9	0	3	6	1
"979"	5	28	8	6	8	26	2	5	0	1	10	1	368	3	4	8	8	1	6	11	5	5	15	0	0	2	0	1	6	54	14	5	8	8	7	32	4	44	11	194	3	4	15	22	3	12	5	0	2	6	4	9	2	9	1	5	1	1	10	7	7	1	2	2	13	4	1	37	0	1	57	34	3	5	20	4	0	0	10	17	3	0	67	7	13	2	9	1	3	7	11	7	8	7	8	8	0	6	6	0
"1004"	6	35	4	11	4	22	4	8	0	3	19	2	317	1	2	6	5	4	4	12	5	4	11	2	0	4	0	2	12	52	12	4	2	10	2	14	2	35	12	196	4	7	26	15	12	16	4	0	0	4	0	4	1	5	1	1	0	3	6	4	8	4	2	3	7	0	5	30	12	0	58	26	0	9	13	10	1	1	15	31	3	1	74	3	7	0	7	0	1	4	15	4	14	10	3	10	2	9	6	5
"1007"	9	33	7	6	6	22	4	5	0	2	8	4	316	2	7	7	7	2	4	11	7	5	10	3	1	2	0	4	4	48	11	3	1	15	6	20	3	37	11	192	1	5	22	19	5	11	9	2	1	1	2	4	0	7	2	3	2	2	5	5	10	1	2	4	12	3	7	26	12	2	49	26	1	6	20	10	1	1	18	28	8	2	73	2	8	1	7	1	4	8	11	3	16	6	10	11	1	12	0	4
"1021"	7	35	13	7	5	26	8	5	0	1	4	3	287	0	6	4	2	4	3	7	11	7	13	1	1	0	0	4	10	53	11	4	6	10	6	29	0	44	8	190	2	6	21	15	14	20	3	0	2	6	3	1	3	7	4	1	0	1	5	9	14	2	1	2	9	3	4	33	5	0	55	38	5	6	18	8	2	3	10	35	1	2	59	8	11	1	16	0	1	6	15	2	23	7	9	9	1	9	6	3
"1023"	4	38	12	6	5	25	5	10	0	4	14	2	293	2	3	12	4	5	7	7	3	9	13	1	2	2	0	4	5	48	8	3	4	16	4	28	1	44	9	190	1	9	15	15	8	18	4	0	2	7	1	1	1	10	1	5	3	1	2	3	13	2	1	11	6	2	9	31	12	3	44	39	0	9	21	13	2	3	14	32	8	1	70	1	5	1	9	3	1	8	11	7	15	9	5	9	1	8	7	3
"1024"	7	39	10	7	3	25	5	6	0	1	15	2	296	2	2	9	4	3	5	10	4	11	8	2	1	2	0	6	5	47	9	4	6	17	4	34	1	43	10	193	0	8	17	12	5	19	4	0	3	4	1	2	1	7	3	4	1	1	0	7	15	2	1	10	5	2	6	31	10	0	50	36	3	11	18	15	2	4	16	37	1	1	66	3	10	2	15	0	3	4	10	6	14	10	3	9	1	11	7	3
"1026"	7	35	12	4	6	25	5	3	0	2	11	1	290	2	8	6	2	5	11	11	4	7	17	2	1	4	0	2	5	45	12	4	6	14	3	32	4	43	13	191	2	9	17	14	6	19	6	1	2	4	2	7	1	9	3	8	3	2	10	6	10	2	1	7	8	5	2	29	13	0	49	34	1	9	22	7	0	5	5	35	5	1	76	5	13	1	11	2	0	5	13	4	10	5	6	10	3	10	4	4
"1036"	8	34	10	9	9	30	0	6	0	1	8	2	288	1	3	8	2	1	4	5	7	10	5	1	1	5	0	4	10	54	11	10	4	8	7	25	3	47	7	198	3	5	21	17	10	13	8	0	0	1	4	2	0	9	1	2	3	2	6	3	7	1	1	5	5	3	3	33	11	2	56	37	3	5	24	13	0	1	8	23	0	3	80	5	13	5	11	0	2	8	12	3	13	8	0	8	1	7	8	4
"1051"	7	30	14	10	6	22	3	4	0	1	12	1	327	3	3	7	5	0	6	12	3	5	9	3	2	0	0	2	8	55	7	2	1	7	4	23	4	43	8	206	2	6	16	12	6	12	5	0	0	2	5	1	2	14	1	3	1	3	3	4	9	1	0	8	6	2	2	28	10	1	52	30	5	5	23	12	0	1	15	28	4	1	85	5	15	0	19	1	1	3	18	4	12	8	5	11	2	11	6	2
"1056"	8	34	6	9	10	16	5	7	0	1	17	5	328	2	1	8	2	2	3	6	4	6	10	2	2	5	0	1	5	45	8	6	2	8	2	23	2	48	8	183	3	6	16	15	8	15	6	0	3	7	4	5	0	10	0	5	3	1	4	6	15	1	3	4	7	7	4	28	10	0	63	31	1	7	20	10	0	1	11	26	6	0	75	4	6	0	12	1	6	9	11	2	10	11	6	9	1	13	6	0
"1085"	8	38	8	11	7	27	5	4	0	3	14	1	332	0	2	9	2	3	17	12	2	6	10	3	1	2	0	4	8	53	18	2	6	10	5	29	2	55	13	182	1	5	15	16	6	22	6	0	0	2	4	3	0	5	2	3	3	2	5	6	8	0	2	6	4	4	2	25	4	2	60	26	2	7	24	10	0	2	12	23	4	2	66	1	4	2	11	0	1	3	12	5	16	6	6	10	2	9	6	6
"1088"	6	31	15	8	9	28	4	5	1	1	11	3	336	2	4	7	6	2	2	11	3	4	9	4	1	1	1	6	3	57	13	4	6	9	5	32	3	56	7	183	0	5	14	20	6	28	6	0	0	2	2	1	2	9	1	3	1	0	1	6	8	3	3	6	8	2	3	24	10	0	61	42	6	11	23	12	1	0	8	21	7	3	69	4	10	0	8	0	2	7	10	1	15	5	3	16	0	7	7	4
"1103"	7	32	8	13	7	20	4	2	0	3	11	3	313	0	3	11	9	1	3	12	3	5	21	6	0	2	0	0	4	53	13	4	2	12	3	25	4	56	21	185	1	3	18	10	4	14	4	0	1	1	2	6	3	5	1	3	1	0	4	3	11	5	2	4	5	5	6	29	6	1	46	36	7	12	17	6	0	0	16	36	4	1	83	7	7	2	5	0	5	3	14	6	9	7	1	11	0	7	5	0
"1121"	5	39	4	10	7	22	0	3	0	1	10	2	331	2	9	7	5	1	5	12	2	3	9	4	0	2	0	4	7	61	12	6	6	12	4	15	2	50	10	191	1	4	18	11	7	8	5	1	0	3	3	4	1	5	2	2	1	1	3	4	5	2	3	5	7	8	3	34	3	2	50	30	2	7	14	15	2	1	10	30	7	1	68	6	11	1	7	1	1	5	12	5	12	4	3	16	1	10	1	4
"1138"	5	36	4	8	4	25	2	4	0	2	15	1	309	6	3	4	2	1	5	10	6	5	9	7	1	6	1	2	4	51	6	9	4	11	5	26	8	55	9	188	1	11	14	21	1	19	5	0	2	3	5	10	3	5	1	8	2	0	4	4	12	1	3	6	14	2	3	33	8	1	50	31	1	2	25	8	0	0	10	22	7	2	58	10	9	0	8	0	3	9	16	1	14	2	2	16	0	5	6	3
"1160"	11	42	10	7	4	14	2	4	0	2	17	2	299	2	5	2	3	1	6	13	5	5	15	3	1	1	0	4	7	77	13	2	5	9	9	31	2	60	7	191	6	6	33	11	11	8	4	0	0	7	4	5	1	6	2	7	2	0	5	6	7	3	1	5	3	4	3	22	3	3	51	38	1	5	17	8	0	1	7	30	8	0	62	6	6	0	8	2	2	8	9	6	13	8	3	13	4	5	3	5
"1212"	3	45	11	4	6	24	6	3	0	1	18	0	336	3	4	3	8	1	7	6	3	2	5	5	0	0	0	4	8	65	14	6	3	10	2	24	5	56	9	182	1	5	17	20	6	12	5	0	0	1	3	7	0	11	3	4	1	2	3	11	14	1	0	4	8	6	2	30	11	2	53	29	6	4	24	9	0	3	11	23	6	0	70	9	10	0	11	2	5	6	9	2	5	4	6	10	0	10	10	4
"1215"	6	40	12	14	6	23	10	5	0	1	18	2	332	5	4	7	7	3	5	11	4	3	13	3	0	2	0	0	8	64	10	3	5	10	6	28	5	57	10	183	1	6	14	18	8	14	6	0	0	1	3	7	2	8	1	5	2	2	6	5	7	0	1	6	11	2	2	28	6	3	53	28	1	7	22	7	0	3	18	19	7	2	71	7	4	0	7	0	1	7	17	7	5	3	7	12	0	7	5	5
"1218"	10	41	11	7	5	26	7	6	0	4	20	3	338	1	6	2	4	1	7	11	4	5	9	4	0	1	2	2	7	68	9	0	1	11	5	30	4	53	16	178	2	8	15	20	7	14	9	2	0	2	2	4	2	11	1	10	3	0	4	2	15	1	0	3	10	6	1	25	7	1	51	32	4	6	11	6	1	3	5	20	8	1	72	3	11	1	9	1	1	8	11	6	3	10	5	17	0	8	5	4
"1227"	9	22	10	11	8	17	4	5	0	1	13	4	352	3	2	10	7	0	5	9	5	7	23	2	0	1	0	2	4	63	11	1	1	8	2	30	4	50	6	191	1	5	16	13	3	17	5	1	0	3	1	3	1	8	1	8	4	1	5	5	7	4	0	4	7	4	6	23	11	0	59	31	1	5	18	6	1	1	15	19	6	2	69	2	6	1	8	0	2	6	8	7	10	12	4	13	1	10	5	6
"1232"	7	31	5	7	7	19	2	5	0	2	21	3	342	3	5	8	7	1	6	19	2	6	11	1	0	3	0	2	7	62	10	6	2	10	1	41	1	50	10	175	1	5	19	12	3	21	4	0	0	0	2	3	1	9	0	4	0	3	6	7	13	1	0	6	8	7	6	19	10	2	59	35	4	8	17	9	0	1	11	22	4	1	62	4	7	1	6	0	4	5	12	5	11	13	4	16	4	9	9	4
"1238"	5	41	12	10	3	26	2	8	0	2	17	6	341	3	3	5	5	5	6	10	4	4	9	3	0	2	0	5	9	55	11	3	1	7	2	27	1	48	8	206	3	8	11	12	5	15	5	0	1	3	1	3	1	9	1	8	1	2	2	3	10	1	0	5	4	1	4	20	8	2	60	29	3	7	27	10	0	2	10	27	6	0	64	1	15	1	8	2	3	6	11	6	14	6	6	15	0	6	3	5
"1241"	7	44	15	5	3	23	5	3	0	1	16	3	344	7	6	10	5	2	7	12	2	4	6	2	0	2	0	3	4	60	12	5	1	13	3	26	3	44	8	202	3	4	14	12	7	11	6	0	0	5	2	3	2	12	0	2	2	2	5	6	9	1	1	3	8	2	3	19	10	1	53	31	3	6	24	8	0	0	10	24	3	0	59	7	6	2	5	0	2	9	21	4	10	7	5	17	0	8	5	3
"1244"	8	34	10	10	7	21	4	4	0	1	14	0	338	2	4	11	3	2	7	8	3	3	7	2	0	5	0	4	2	57	10	7	2	9	1	26	2	51	11	204	0	6	23	15	11	14	12	0	0	3	3	7	1	9	3	0	1	1	3	6	12	4	0	3	6	6	5	25	12	1	53	32	1	8	21	7	0	1	10	22	3	1	61	5	10	0	4	0	3	8	17	8	11	5	3	14	0	6	7	3
"1254"	6	38	6	4	12	23	1	7	0	2	20	1	343	5	4	7	1	4	9	12	5	8	9	2	0	0	0	2	11	49	9	4	6	8	2	21	2	44	11	203	1	4	14	12	5	17	10	0	2	3	3	6	1	8	1	2	2	2	5	4	12	5	2	1	14	2	5	24	5	3	48	39	5	10	16	5	1	2	13	24	3	3	47	7	12	2	2	1	4	11	19	6	10	3	2	20	0	9	5	4
"1280"	5	25	6	11	3	24	1	10	0	2	14	4	351	9	4	5	9	1	6	13	4	5	10	4	0	6	0	4	6	64	5	8	8	11	3	22	3	46	5	180	0	11	18	16	6	17	5	0	2	9	2	7	1	8	0	7	0	3	4	12	11	2	1	4	7	2	4	27	11	3	52	36	2	10	16	9	0	1	9	23	7	0	55	4	11	1	11	1	4	4	14	3	14	4	9	14	0	6	0	3
"1282"	4	26	8	7	9	27	2	5	0	0	13	3	348	2	5	13	3	4	4	14	5	3	13	1	0	2	2	1	9	71	6	5	4	12	3	24	3	50	7	172	1	7	16	15	10	13	3	0	2	4	3	9	0	10	0	7	1	1	1	4	12	4	2	4	6	2	2	32	6	1	42	36	4	11	16	7	0	2	13	24	4	1	59	7	5	2	6	0	5	6	13	4	13	7	3	15	0	5	2	4
"1293"	7	30	8	9	3	30	1	4	1	3	14	3	353	4	7	10	5	4	4	6	4	5	10	6	0	1	0	5	3	63	6	2	4	9	3	30	4	58	6	178	4	4	22	19	9	21	3	0	0	2	3	4	1	14	3	4	0	2	6	4	9	3	2	7	9	0	3	37	10	0	36	23	0	7	24	14	0	1	16	22	4	1	61	7	7	0	5	1	2	6	13	3	12	3	4	17	1	8	5	4
